x,y,z
0.616,-0.0312462,0
0.619,-0.0310035,0
0.622,-0.03076065,0
0.625,-0.03051775,0
0.626,-0.0304368,0
0.629,-0.03019395,0
0.632,-0.0299512,0
0.635,-0.0297086,0
0.638,-0.02946625,0
0.641,-0.02922415,0
0.644,-0.0289824,0
0.647,-0.0287411,0
0.65,-0.02850025,0
0.651,-0.02842005,0
0.654,-0.0281799,0
0.657,-0.02794035,0
0.66,-0.0277015,0
0.663,-0.02746335,0
0.666,-0.02722595,0
0.669,-0.0269894,0
0.672,-0.0267537,0
0.675,-0.02651895,0
0.676,-0.02644095,0
0.679,-0.02620755,0
0.682,-0.0259752,0
0.685,-0.02574395,0
0.688,-0.0255139,0
0.691,-0.02528505,0
0.694,-0.02505745,0
0.697,-0.02483115,0
0.7,-0.0246062,0
0.701,-0.0245315,0
0.704,-0.0243084,0
0.707,-0.0240868,0
0.71,-0.02386665,0
0.713,-0.023648,0
0.716,-0.02343095,0
0.719,-0.0232155,0
0.722,-0.0230017,0
0.725,-0.0227896,0
0.726,-0.02271925,0
0.729,-0.0225094,0
0.732,-0.0223013,0
0.735,-0.022095,0
0.738,-0.0218905,0
0.741,-0.0216878,0
0.744,-0.021487,0
0.747,-0.02128805,0
0.75,-0.021091,0
0.751,-0.02102575,0
0.754,-0.02083125,0
0.757,-0.0206387,0
0.76,-0.0204481,0
0.763,-0.02025945,0
0.766,-0.02007275,0
0.769,-0.0198881,0
0.772,-0.0197054,0
0.775,-0.0195247,0
0.776,-0.0194649,0
0.779,-0.01928685,0
0.782,-0.0191108,0
0.785,-0.01893675,0
0.788,-0.01876465,0
0.791,-0.01859455,0
0.794,-0.01842645,0
0.797,-0.01826025,0
0.8,-0.018096,0
0.801,-0.0180417,0
0.804,-0.01788,0
0.807,-0.01772015,0
0.81,-0.01756225,0
0.813,-0.01740615,0
0.816,-0.01725185,0
0.819,-0.0170993,0
0.822,-0.01694855,0
0.825,-0.0167995,0
0.826,-0.01675015,0
0.829,-0.0166033,0
0.832,-0.01645805,0
0.835,-0.01631435,0
0.838,-0.01617215,0
0.841,-0.0160314,0
